Tensor_id,ActiveTime,InactiveTime
1131,796,503
1132,1,1298
1133,1,1298
1134,1,1298
1135,1,1298
1138,2,1297
1139,789,510
1140,2,1297
1142,3,1296
1143,20,1279
1144,782,517
1145,4,1295
1147,2,1297
1148,1,1298
1149,1,1298
1150,785,514
1151,785,514
1152,1,1298
1153,1,1298
1154,1,1298
1155,1,1298
1158,2,1297
1160,3,1296
1161,3,1296
1162,775,524
1163,4,1295
1165,2,1297
1166,1,1298
1167,1,1298
1168,778,521
1169,778,521
1170,1,1298
1171,1,1298
1172,1,1298
1173,1,1298
1176,2,1297
1178,3,1296
1179,3,1296
1180,770,529
1181,4,1295
1183,2,1297
1184,1,1298
1185,1,1298
1186,771,528
1187,771,528
1188,1,1298
1189,1,1298
1190,1,1298
1191,1,1298
1194,2,1297
1195,764,535
1196,2,1297
1198,3,1296
1199,20,1279
1200,757,542
1201,4,1295
1203,2,1297
1204,1,1298
1205,1,1298
1206,760,539
1207,760,539
1208,1,1298
1209,1,1298
1210,1,1298
1211,1,1298
1214,2,1297
1216,3,1296
1217,3,1296
1218,750,549
1219,4,1295
1221,2,1297
1222,1,1298
1223,1,1298
1224,753,546
1225,753,546
1226,1,1298
1227,1,1298
1228,1,1298
1229,1,1298
1232,2,1297
1234,3,1296
1235,3,1296
1236,745,554
1237,4,1295
1239,2,1297
1240,1,1298
1241,1,1298
1242,746,553
1243,746,553
1244,1,1298
1245,1,1298
1246,1,1298
1247,1,1298
1250,2,1297
1251,739,560
1252,2,1297
1254,3,1296
1255,20,1279
1256,732,567
1257,4,1295
1259,2,1297
1260,1,1298
1261,1,1298
1262,735,564
1263,735,564
1264,1,1298
1265,1,1298
1266,1,1298
1267,1,1298
1270,2,1297
1272,3,1296
1273,3,1296
1274,725,574
1275,4,1295
1277,2,1297
1278,1,1298
1279,1,1298
1280,728,571
1281,728,571
1282,1,1298
1283,1,1298
1284,1,1298
1285,1,1298
1288,2,1297
1290,3,1296
1291,3,1296
1292,720,579
1293,4,1295
1295,2,1297
1296,1,1298
1297,1,1298
1298,721,578
1299,721,578
1300,1,1298
1301,1,1298
1302,1,1298
1303,1,1298
1306,2,1297
1307,714,585
1308,2,1297
1310,3,1296
1311,20,1279
1312,707,592
1313,4,1295
1315,2,1297
1316,1,1298
1317,1,1298
1318,710,589
1319,710,589
1320,1,1298
1321,1,1298
1322,1,1298
1323,1,1298
1326,2,1297
1328,3,1296
1329,3,1296
1330,700,599
1331,4,1295
1333,2,1297
1334,1,1298
1335,1,1298
1336,703,596
1337,703,596
1338,1,1298
1339,1,1298
1340,1,1298
1341,1,1298
1344,2,1297
1346,3,1296
1347,3,1296
1348,695,604
1349,4,1295
1351,2,1297
1352,1,1298
1353,1,1298
1354,696,603
1355,696,603
1356,1,1298
1357,1,1298
1358,1,1298
1359,1,1298
1362,2,1297
1363,689,610
1364,2,1297
1366,3,1296
1367,20,1279
1368,682,617
1369,4,1295
1371,2,1297
1372,1,1298
1373,1,1298
1374,685,614
1375,685,614
1376,1,1298
1377,1,1298
1378,1,1298
1379,1,1298
1382,2,1297
1384,3,1296
1385,3,1296
1386,675,624
1387,4,1295
1389,2,1297
1390,1,1298
1391,1,1298
1392,678,621
1393,678,621
1394,1,1298
1395,1,1298
1396,1,1298
1397,1,1298
1400,2,1297
1402,3,1296
1403,3,1296
1404,670,629
1405,4,1295
1407,2,1297
1408,1,1298
1409,1,1298
1410,671,628
1411,671,628
1412,1,1298
1413,1,1298
1414,1,1298
1415,1,1298
1418,2,1297
1419,664,635
1420,2,1297
1422,3,1296
1423,20,1279
1424,657,642
1425,4,1295
1427,2,1297
1428,1,1298
1429,1,1298
1430,660,639
1431,660,639
1432,1,1298
1433,1,1298
1434,1,1298
1435,1,1298
1438,2,1297
1440,3,1296
1441,3,1296
1442,650,649
1443,4,1295
1445,2,1297
1446,1,1298
1447,1,1298
1448,653,646
1449,653,646
1450,1,1298
1451,1,1298
1452,1,1298
1453,1,1298
1456,2,1297
1458,3,1296
1459,3,1296
1460,645,654
1461,4,1295
1463,2,1297
1464,1,1298
1465,1,1298
1466,646,653
1467,646,653
